"Story","Title","Result","Date","Stability","Duration (s)"
"Lookup a definition","Looking up the definition of 'apple'","SUCCESS","2016-09-20T09:49:54.361-04:00","0.0","9.1"
"Lookup a definition","Looking up the definition of 'pear'","SUCCESS","2016-09-20T09:50:05.759-04:00","0.0","4.61"
